Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
NXPI,NXP Semiconductors N.V. Common Stock,$177.29,-2.20,-1.226%,45942019684.00,Netherlands,2010,2933476,Technology,Semiconductors
OKTA,Okta Inc. Class A Common Stock,$83.83,-0.53,-0.628%,13428154806.00,United States,2017,3017547,Technology,EDP Services
ON,ON Semiconductor Corporation Common Stock,$78.28,-2.22,-2.758%,33814447760.00,United States,,6980254,Technology,Semiconductors
ORCL,Oracle Corporation Common Stock,$85.26,0.44,0.519%,229882530780.00,United States,1986,13065833,Technology,Computer Software: Prepackaged Software
PANW,Palo Alto Networks Inc. Common Stock,$189.12,-0.65,-0.343%,57181742034.00,United States,,3774550,Technology,EDP Services
PAYC,Paycom Software Inc. Common Stock,$276.94,-3.12,-1.114%,16705319064.00,,2014,644350,Technology,Computer Software: Prepackaged Software
PCTY,Paylocity Holding Corporation Common Stock,$180.51,2.06,1.154%,10066991796.00,United States,2014,859912,Technology,Computer Software: Prepackaged Software
PINS,Pinterest Inc. Class A Common Stock,$26.37,-0.16,-0.603%,18033593965.00,,2019,10001985,Technology,Interactive Media
PLTR,Palantir Technologies Inc. Class A Common Stock,$7.88,-0.10,-1.253%,16391936167.00,,2020,20885999,Technology,Retail: Computer Software & Peripheral Equipment
PTC,PTC Inc. Common Stock,$118.71,-0.76,-0.636%,14039024828.00,United States,,1566052,Technology,Computer Software: Prepackaged Software
QCOM,QUALCOMM Incorporated Common Stock,$120.73,0.22,0.183%,134613950000.00,United States,1991,12296354,Technology,Computer peripheral equipment
RBLX,Roblox Corporation Class A Common Stock,$43.69,-1.64,-3.618%,26418220254.00,United States,2021,13610120,Technology,EDP Services
ROP,Roper Technologies Inc. Common Stock,$425.66,-2.76,-0.644%,45142117306.00,United States,1992,1642246,Technology,Computer Software: Prepackaged Software
SAP,SAP  SE ADS,$119.22,-1.08,-0.898%,139439712000.00,Germany,,1040263,Technology,Computer Software: Prepackaged Software
SE,Sea Limited American Depositary Shares each representing one Class A Ordinary Share,$78.40,0.13,0.166%,44040256064.00,United States,2017,3390655,Technology,Computer Software: Prepackaged Software
SEDG,SolarEdge Technologies Inc. Common Stock,$267.21,-18.36,-6.429%,14999406883.00,Israel,2015,2346250,Technology,Semiconductors
SNAP,Snap Inc. Class A Common Stock,$10.70,-0.39,-3.517%,16920286116.00,United States,2017,34432985,Technology,Internet and Information Services
SNOW,Snowflake Inc. Class A Common Stock,$135.62,-3.30,-2.375%,43615392000.00,United States,2020,5407104,Technology,Computer Software: Prepackaged Software
SNPS,Synopsys Inc. Common Stock,$372.53,-1.47,-0.393%,56736943733.00,United States,1992,1640765,Technology,EDP Services
SPLK,Splunk Inc. Common Stock,$89.15,-0.60,-0.669%,14593855000.00,United States,2012,2601747,Technology,Computer Software: Prepackaged Software
SQ,Block Inc. Class A Common Stock,$73.98,-1.11,-1.478%,44245299830.00,United States,2015,9753531,Technology,Computer Software: Prepackaged Software
SSNC,SS&C Technologies Holdings Inc. Common Stock,$53.87,-1.37,-2.48%,13570435658.00,United States,2010,1729052,Technology,EDP Services
STM,STMicroelectronics N.V. Common Stock,$48.03,-0.54,-1.112%,43359427019.00,Switzerland,,4911584,Technology,Semiconductors
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),$61.05,-0.15,-0.245%,12605839897.00,Ireland,2002,5781292,Technology,Electronic Components
SWKS,Skyworks Solutions Inc. Common Stock,$114.07,-1.66,-1.434%,18134183800.00,United States,,2488291,Technology,Semiconductors
TEAM,Atlassian Corporation Class A Common Stock,$158.25,0.90,0.572%,40557475037.00,Australia,2015,3325219,Technology,EDP Services
TEL,TE Connectivity Ltd. New Switzerland Registered Shares,$123.23,-1.68,-1.345%,38996948790.00,Switzerland,,3185119,Technology,Electronic Components
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$89.47,0.17,0.19%,463991420000.00,Taiwan,1997,13283389,Technology,Semiconductors
TTD,The Trade Desk Inc. Class A Common Stock,$58.51,-0.37,-0.628%,28716403631.00,United States,2016,4665223,Technology,EDP Services
TTWO,Take-Two Interactive Software Inc. Common Stock,$116.28,0.73,0.632%,19613474232.00,United States,1997,2835219,Technology,Computer Software: Prepackaged Software
TXN,Texas Instruments Incorporated Common Stock,$175.71,-1.42,-0.802%,159229420239.00,United States,,12963330,Technology,Semiconductors
TYL,Tyler Technologies Inc. Common Stock,$326.61,-4.81,-1.451%,13600007086.00,United States,,547028,Technology,Computer Software: Prepackaged Software
U,Unity Software Inc. Common Stock,$28.32,-0.42,-1.461%,11414071333.00,United States,2020,9470977,Technology,Retail: Computer Software & Peripheral Equipment
UBER,Uber Technologies Inc. Common Stock,$31.78,-0.95,-2.903%,63382265265.00,,2019,27093917,Technology,EDP Services
UI,Ubiquiti Inc. Common Stock,$261.77,-5.99,-2.237%,15821771979.00,United States,,81279,Technology,Radio And Television Broadcasting And Communications Equipment
UMC,United Microelectronics Corporation (NEW) Common Stock,$8.60,-0.07,-0.807%,21468505906.00,Taiwan,,6680133,Technology,Semiconductors
VMW,Vmware Inc. Common stock Class A,$118.27,-2.28,-1.891%,50315194993.00,United States,2007,2139260,Technology,Computer Software: Prepackaged Software
VRSN,VeriSign Inc. Common Stock,$193.35,-0.83,-0.427%,20278414008.00,United States,1998,936236,Technology,EDP Services
WDAY,Workday Inc. Class A Common Stock,$188.77,-2.95,-1.539%,48513890000.00,United States,,2696690,Technology,Computer Software: Prepackaged Software
WDC,Western Digital Corporation Common Stock,$35.08,-0.26,-0.736%,11202020908.00,United States,,6316040,Technology,Electronic Components
WIT,Wipro Limited Common Stock,$4.57,-0.04,-0.868%,25028458763.00,India,,1817322,Technology,EDP Services
XM,Qualtrics International Inc. Class A Common Stock,$17.65,-0.04,-0.226%,10481587964.00,United States,2021,4275033,Technology,Computer Software: Prepackaged Software
ZBRA,Zebra Technologies Corporation Class A Common Stock,$288.71,-6.22,-2.109%,14841063063.00,United States,1991,461456,Technology,Computer peripheral equipment
ZM,Zoom Video Communications Inc. Class A Common Stock,$69.19,-1.40,-1.983%,20225775025.00,United States,2019,3762426,Technology,Computer Software: Prepackaged Software
ZS,Zscaler Inc. Common Stock,$105.49,-2.64,-2.442%,15212947826.00,United States,2018,2703078,Technology,EDP Services
